title,artist,genre,mood,language
Tum Hi Ho,Arijit Singh,Romantic,Sad,Hindi
Ae Dil Hai Mushkil,Arijit Singh,Romantic,Emotional,Hindi
Raabta,Arijit Singh,Romantic,Romantic,Hindi
Gerua,Arijit Singh,Bollywood,Happy,Hindi
Chaleya,Arijit Singh,Bollywood,Energetic,Hindi
Kabira,Arijit Singh,Bollywood,Melancholic,Hindi
Pehli Baar,Arijit Singh,Romantic,Romantic,Hindi
Suno Na,Arijit Singh,Romantic,Sad,Hindi
Nazm Nazm,Arijit Singh,Romantic,Romantic,Hindi
Baarish,B Praak,Romantic,Sad,Hindi
Ek Mulaqat,Arijit Singh,Romantic,Emotional,Hindi
Deewani Mastani,Hrithik Roshan,Bollywood,Happy,Hindi
Sufiyana Pyaar,Kadir Ali,Sufi,Spiritual,Hindi
Aaj Phir Tumpe,Arijit Singh,Romantic,Emotional,Hindi
Tera Ban Jaunga,Akhil Sachdeva,Romantic,Romantic,Hindi
Binte Dil,Badshah,Bollywood,Happy,Hindi
Samjhawan,Arijit Singh,Romantic,Romantic,Hindi
Tere Bina,Atif Aslam,Romantic,Emotional,Hindi
Hasi Ban Gaye,Arijit Singh,Romantic,Happy,Hindi
Kamli,Sonu Nigam,Bollywood,Happy,Hindi
Uff Teri Adaa,Rahat Fateh Ali Khan,Bollywood,Energetic,Hindi
Ghagra,Arijit Singh,Bollywood,Happy,Hindi
Maula Mere,Arijit Singh,Sufi,Spiritual,Hindi
Dil Diyan Gallan,Arijit Singh,Romantic,Romantic,Hindi
Daftar,Arijit Singh,Romantic,Sad,Hindi
Qadam Qadam,Arijit Singh,Inspirational,Inspirational,Hindi
Besabriyaan,Arijit Singh,Romantic,Sad,Hindi
Fitoor,Arijit Singh,Romantic,Emotional,Hindi
Aayat,Arijit Singh,Sufi,Spiritual,Hindi
Sanam,Arijit Singh,Romantic,Romantic,Hindi
Jasminum,Arijit Singh,Romantic,Romantic,Hindi
Khalas,Arijit Singh,Romantic,Sad,Hindi
Laila O Laila,Rahat Fateh Ali Khan,Bollywood,Energetic,Hindi
Dil Diya,Arijit Singh,Romantic,Romantic,Hindi
Bekhudi,Arijit Singh,Romantic,Emotional,Hindi
Phir Le Aya Dil,Arijit Singh,Romantic,Romantic,Hindi
Bulleya,Arijit Singh,Sufi,Spiritual,Hindi
Lambiyaan Si Judayiyaan,Arijit Singh,Romantic,Sad,Hindi
Apna Bana Le,Arijit Singh,Romantic,Romantic,Hindi
Atif Aslam Collection,Atif Aslam,Romantic,Emotional,Hindi
Rabba Main Kya Karu,Rahat Fateh Ali Khan,Romantic,Emotional,Hindi
Mahiya Meri,Rahat Fateh Ali Khan,Romantic,Romantic,Hindi
Chaleya,Akshay Kumar,Bollywood,Energetic,Hindi
Abhi Toh Hai Jaan,Shreya Ghoshal,Romantic,Romantic,Hindi
Baarish Ban Jaana,Ash King,Romantic,Sad,Hindi
Raatan Lambiyan,Jubin Nautiyal,Romantic,Romantic,Hindi
Dil Ko Karaar Aaya,Neha Kakkar,Romantic,Romantic,Hindi
Dil Ko Maine Di Kasam,Arijit Singh,Romantic,Emotional,Hindi
Tum Mile Dil Khile,Arijit Singh,Romantic,Happy,Hindi
Jiya Bhale,Arijit Singh,Romantic,Romantic,Hindi
Hawayein,Arijit Singh,Romantic,Romantic,Hindi
Damadum,Arijit Singh,Bollywood,Energetic,Hindi
Marjani,Arijit Singh,Romantic,Romantic,Hindi
Gazab Ka Hai Ye Din,Arijit Singh,Romantic,Happy,Hindi
Bandhan Nahi Tere Bina,Arijit Singh,Romantic,Sad,Hindi
Kal Jise Dekha Tha,Arijit Singh,Romantic,Emotional,Hindi
Mere Bina,Arijit Singh,Romantic,Sad,Hindi
Kabhi Kabhi Aditi Zindagi Mein,Arijit Singh,Romantic,Emotional,Hindi
Tumaaro Hone Se Pehle Se Hi Pyaar,Arijit Singh,Romantic,Romantic,Hindi
Lal Dupatta,Shreya Ghoshal,Romantic,Romantic,Hindi
Baarish Aye Baarish,Arijit Singh,Romantic,Sad,Hindi
Dhire Dhire Se Mere Zindagi,Arijit Singh,Romantic,Emotional,Hindi
Yaad Piya Ki Aane Lagi,Shreya Ghoshal,Romantic,Romantic,Hindi
Chaleya,Siddhant Chaturvedi,Bollywood,Energetic,Hindi
Baarish Ban Jana,Ash King,Romantic,Sad,Hindi
Tumari Kasam,Arijit Singh,Romantic,Romantic,Hindi
Aaj Kal Tere Mere Pyaar Ke Charche,Arijit Singh,Romantic,Romantic,Hindi
Pehli Nazar Mein,Rahat Fateh Ali Khan,Romantic,Romantic,Hindi
Ishq Wala Love,Arijit Singh,Romantic,Happy,Hindi
Kaise Mujhe Tum Mil Gayin,Arijit Singh,Romantic,Happy,Hindi
Galiyaan,Ek Villain,Romantic,Emotional,Hindi
Saiya Dheere Chalna,Shreya Ghoshal,Romantic,Romantic,Hindi
Teri Kasam,Arijit Singh,Romantic,Romantic,Hindi
Aahista Aahista,Lata Mangeshkar,Romantic,Romantic,Hindi
Tumse Milkar Na Jaane Kyun,Arijit Singh,Romantic,Emotional,Hindi
Jab Bhi Teri Yaad,Arijit Singh,Romantic,Sad,Hindi
Sukoon Mila,Arijit Singh,Romantic,Peaceful,Hindi
Deewar,Arijit Singh,Romantic,Sad,Hindi
Saath Dekhoonga,Arijit Singh,Romantic,Romantic,Hindi
Har Dil Jo Pyar Karega,Arijit Singh,Romantic,Romantic,Hindi
Mila Tha,Arijit Singh,Romantic,Emotional,Hindi
Pyaar Ki Ek Tarah Se,Arijit Singh,Romantic,Romantic,Hindi
Nazron Se Hai,Arijit Singh,Romantic,Romantic,Hindi
Koi Farq Nahi Pda,Arijit Singh,Romantic,Emotional,Hindi
Chahun Main Ya Na Chahun,Shreya Ghoshal,Romantic,Emotional,Hindi
Tera Hi Bas Hona Chahta Hu Main,Arijit Singh,Romantic,Romantic,Hindi
Jo Tum Mere Ho,Arijit Singh,Romantic,Romantic,Hindi
Subah Hone Na De,B Praak,Romantic,Emotional,Hindi
Tum Se Hi,Shreya Ghoshal,Romantic,Romantic,Hindi
Sau Aasmaan,Arijit Singh,Romantic,Romantic,Hindi
Channa Mereya,Arijit Singh,Romantic,Sad,Hindi
Aashiqui 2 Songs,Arijit Singh,Romantic,Emotional,Hindi
Kaisi Yeh Sudhaiyaan,Arijit Singh,Romantic,Emotional,Hindi
Phir Se Ud Chala,Arijit Singh,Inspirational,Inspirational,Hindi
