title,artist,genre,mood,language
Tum Hi Ho,Arijit Singh,Romantic,Sad,Hindi
Ae Dil Hai Mushkil,Arijit Singh,Romantic,Emotional,Hindi
Raabta,Arijit Singh,Romantic,Romantic,Hindi
Gerua,Arijit Singh,Bollywood,Happy,Hindi
Kabira,Arijit Singh,Bollywood,Melancholic,Hindi
Pehli Baar,Arijit Singh,Romantic,Romantic,Hindi
Suno Na,Arijit Singh,Romantic,Sad,Hindi
Nazm Nazm,Arijit Singh,Romantic,Romantic,Hindi
Ek Mulaqat,Arijit Singh,Romantic,Emotional,Hindi
Aaj Phir Tumpe,Arijit Singh,Romantic,Emotional,Hindi
Samjhawan,Arijit Singh,Romantic,Romantic,Hindi
Dil Diyan Gallan,Arijit Singh,Romantic,Romantic,Hindi
Daftar,Arijit Singh,Romantic,Sad,Hindi
Qadam Qadam,Arijit Singh,Inspirational,Inspirational,Hindi
Besabriyaan,Arijit Singh,Romantic,Sad,Hindi
Fitoor,Arijit Singh,Romantic,Emotional,Hindi
Aayat,Arijit Singh,Sufi,Spiritual,Hindi
Sanam,Arijit Singh,Romantic,Romantic,Hindi
Khalas,Arijit Singh,Romantic,Sad,Hindi
Dil Diya,Arijit Singh,Romantic,Romantic,Hindi
Bekhudi,Arijit Singh,Romantic,Emotional,Hindi
Phir Le Aya Dil,Arijit Singh,Romantic,Romantic,Hindi
Bulleya,Arijit Singh,Sufi,Spiritual,Hindi
Lambiyaan Si Judayiyaan,Arijit Singh,Romantic,Sad,Hindi
Apna Bana Le,Arijit Singh,Romantic,Romantic,Hindi
Maula Mere,Arijit Singh,Sufi,Spiritual,Hindi
Hawayein,Arijit Singh,Romantic,Romantic,Hindi
Damadum,Arijit Singh,Bollywood,Energetic,Hindi
Marjani,Arijit Singh,Romantic,Romantic,Hindi
Gazab Ka Hai Ye Din,Arijit Singh,Romantic,Happy,Hindi
Song 1,Akhil Sachdeva,Romantic,Sad,Hindi
Song 2,Panjabi MC,Inspirational,Philosophical,Hindi
Song 3,Arijit Singh,Pop,Romantic,Hindi
Song 4,Pritam,Devotional,Energetic,Hindi
Song 5,Tushar Raj,Pop,Melancholic,Hindi
Song 6,Akhil Sachdeva,Bollywood,Happy,Hindi
Song 7,Sonu Nigam,Punjabi,Happy,Hindi
Song 8,Tushar Raj,Ghazal,Melancholic,Hindi
Song 9,Atif Aslam,Punjabi,Emotional,Hindi
Song 10,Jubin Nautiyal,Punjabi,Emotional,Hindi
Song 11,Ash King,Ghazal,Happy,Hindi
Song 12,Kishore Kumar,Devotional,Emotional,Hindi
Song 13,Guri,Bollywood,Melancholic,Hindi
Song 14,Malhar,Ghazal,Philosophical,Hindi
Song 15,Mukesh,Romantic,Melancholic,Hindi
Song 16,Mohammed Rafi,Punjabi,Romantic,Hindi
Song 17,Sonu Nigam,Punjabi,Sad,Hindi
Song 18,Rahat Fateh Ali Khan,Sufi,Energetic,Hindi
Song 19,Akhil Sachdeva,Sufi,Sad,Hindi
Song 20,Akhil Sachdeva,Devotional,Sad,Hindi
Song 21,Daler Mehndi,Patriotic,Melancholic,Hindi
Song 22,Rahat Fateh Ali Khan,Devotional,Philosophical,Hindi
Song 23,Daler Mehndi,Romantic,Spiritual,Hindi
Song 24,Ek Villain,Bollywood,Philosophical,Hindi
Song 25,Madhubala,Patriotic,Peaceful,Hindi
Song 26,Sanjay Leela Bhansali,Inspirational,Happy,Hindi
Song 27,Kumar Sanu,Inspirational,Emotional,Hindi
Song 28,Jagjit Singh,Patriotic,Peaceful,Hindi
Song 29,Asha Parekh,Punjabi,Spiritual,Hindi
Song 30,Lata Mangeshkar,Folk,Philosophical,Hindi
Song 31,Rahat Fateh Ali Khan,Romantic,Peaceful,Hindi
Song 32,Daler Mehndi,Sufi,Melancholic,Hindi
Song 33,Akshay Kumar,Romantic,Energetic,Hindi
Song 34,Abhijeet,Folk,Peaceful,Hindi
Song 35,Sonu Nigam,Folk,Happy,Hindi
Song 36,Ek Villain,Punjabi,Energetic,Hindi
Song 37,Guri,Ghazal,Peaceful,Hindi
Song 38,Kadir Ali,Patriotic,Melancholic,Hindi
Song 39,Kumar Sanu,Ghazal,Emotional,Hindi
Song 40,Hrithik Roshan,Sufi,Peaceful,Hindi
Song 41,Madhubala,Romantic,Happy,Hindi
Song 42,Rahat Fateh Ali Khan,Patriotic,Philosophical,Hindi
Song 43,Sanjay Leela Bhansali,Folk,Romantic,Hindi
Song 44,B Praak,Pop,Melancholic,Hindi
Song 45,Akhil Sachdeva,Pop,Melancholic,Hindi
Song 46,Daler Mehndi,Devotional,Emotional,Hindi
Song 47,Jubin Nautiyal,Sufi,Emotional,Hindi
Song 48,Arijit Singh,Punjabi,Spiritual,Hindi
Song 49,Mohammed Rafi,Punjabi,Sad,Hindi
Song 50,Tushar Raj,Pop,Spiritual,Hindi
Song 51,Asha Parekh,Folk,Melancholic,Hindi
Song 52,Sidhu Moose Wala,Sufi,Melancholic,Hindi
Song 53,Mohammed Rafi,Punjabi,Sad,Hindi
Song 54,Malhar,Ghazal,Spiritual,Hindi
Song 55,Sidhu Moose Wala,Bollywood,Romantic,Hindi
Song 56,Mohammed Rafi,Ghazal,Melancholic,Hindi
Song 57,Akshay Kumar,Devotional,Philosophical,Hindi
Song 58,Jubin Nautiyal,Sufi,Melancholic,Hindi
Song 59,A.R. Rahman,Bollywood,Energetic,Hindi
Song 60,Udit Narayan,Romantic,Happy,Hindi
Song 61,Ek Villain,Folk,Spiritual,Hindi
Song 62,Guri,Inspirational,Spiritual,Hindi
Song 63,Abhijeet,Ghazal,Spiritual,Hindi
Song 64,Kishore Kumar,Inspirational,Philosophical,Hindi
Song 65,Panjabi MC,Sufi,Energetic,Hindi
Song 66,Pritam,Bollywood,Energetic,Hindi
Song 67,Akshay Kumar,Patriotic,Philosophical,Hindi
Song 68,Mohammed Rafi,Folk,Philosophical,Hindi
Song 69,A.R. Rahman,Ghazal,Spiritual,Hindi
Song 70,Tushar Raj,Inspirational,Happy,Hindi
Song 71,Ranbir Kapoor,Sufi,Happy,Hindi
Song 72,Asha Parekh,Punjabi,Emotional,Hindi
Song 73,B Praak,Patriotic,Romantic,Hindi
Song 74,Tushar Raj,Punjabi,Philosophical,Hindi
Song 75,A.R. Rahman,Bollywood,Melancholic,Hindi
Song 76,Panjabi MC,Patriotic,Sad,Hindi
Song 77,Atif Aslam,Patriotic,Melancholic,Hindi
Song 78,Hrithik Roshan,Devotional,Happy,Hindi
Song 79,Jubin Nautiyal,Inspirational,Philosophical,Hindi
Song 80,Ash King,Inspirational,Energetic,Hindi
Song 81,Neha Kakkar,Sufi,Peaceful,Hindi
Song 82,Mohammed Rafi,Sufi,Sad,Hindi
Song 83,Panjabi MC,Pop,Philosophical,Hindi
Song 84,Sidhu Moose Wala,Folk,Emotional,Hindi
Song 85,Tushar Raj,Patriotic,Sad,Hindi
Song 86,Deepika Padukone,Bollywood,Sad,Hindi
Song 87,Jagjit Singh,Bollywood,Energetic,Hindi
Song 88,A.R. Rahman,Patriotic,Energetic,Hindi
Song 89,Hrithik Roshan,Patriotic,Philosophical,Hindi
Song 90,Rahat Fateh Ali Khan,Bollywood,Philosophical,Hindi
Song 91,Atif Aslam,Patriotic,Romantic,Hindi
Song 92,Guri,Patriotic,Romantic,Hindi
Song 93,Jagjit Singh,Folk,Emotional,Hindi
Song 94,Kishore Kumar,Patriotic,Philosophical,Hindi
Song 95,Kadir Ali,Ghazal,Sad,Hindi
Song 96,Atif Aslam,Bollywood,Spiritual,Hindi
Song 97,Pritam,Punjabi,Happy,Hindi
Song 98,Lata Mangeshkar,Folk,Spiritual,Hindi
Song 99,Sanjay Leela Bhansali,Patriotic,Energetic,Hindi
Song 100,Badshah,Patriotic,Romantic,Hindi
Song 101,Ranbir Kapoor,Patriotic,Spiritual,Hindi
Song 102,Hrithik Roshan,Romantic,Energetic,Hindi
Song 103,A.R. Rahman,Pop,Melancholic,Hindi
Song 104,Arijit Singh,Ghazal,Sad,Hindi
Song 105,Shreya Ghoshal,Folk,Happy,Hindi
Song 106,B Praak,Romantic,Energetic,Hindi
Song 107,Panjabi MC,Devotional,Happy,Hindi
Song 108,Badshah,Devotional,Peaceful,Hindi
Song 109,Kadir Ali,Patriotic,Romantic,Hindi
Song 110,Arijit Singh,Devotional,Melancholic,Hindi
Song 111,Sanjay Leela Bhansali,Folk,Peaceful,Hindi
Song 112,B Praak,Inspirational,Energetic,Hindi
Song 113,Akshay Kumar,Punjabi,Sad,Hindi
Song 114,Udit Narayan,Punjabi,Emotional,Hindi
Song 115,Sonu Nigam,Devotional,Emotional,Hindi
Song 116,Abhijeet,Sufi,Spiritual,Hindi
Song 117,Mohammed Rafi,Pop,Spiritual,Hindi
Song 118,Badshah,Romantic,Peaceful,Hindi
Song 119,Neha Kakkar,Romantic,Spiritual,Hindi
Song 120,Pritam,Romantic,Emotional,Hindi
