title,artist,genre,mood,language
Tum Hi Ho,Arijit Singh,Romantic,Sad,Hindi
Ae Dil Hai Mushkil,Arijit Singh,Romantic,Emotional,Hindi
Raabta,Arijit Singh,Romantic,Romantic,Hindi
Gerua,Arijit Singh,Bollywood,Happy,Hindi
Kabira,Arijit Singh,Bollywood,Melancholic,Hindi
Pehli Baar,Arijit Singh,Romantic,Romantic,Hindi
Suno Na,Arijit Singh,Romantic,Sad,Hindi
Nazm Nazm,Arijit Singh,Romantic,Romantic,Hindi
Ek Mulaqat,Arijit Singh,Romantic,Emotional,Hindi
Aaj Phir Tumpe,Arijit Singh,Romantic,Emotional,Hindi
Samjhawan,Arijit Singh,Romantic,Romantic,Hindi
Dil Diyan Gallan,Arijit Singh,Romantic,Romantic,Hindi
Daftar,Arijit Singh,Romantic,Sad,Hindi
Qadam Qadam,Arijit Singh,Inspirational,Inspirational,Hindi
Besabriyaan,Arijit Singh,Romantic,Sad,Hindi
Fitoor,Arijit Singh,Romantic,Emotional,Hindi
Aayat,Arijit Singh,Sufi,Spiritual,Hindi
Sanam,Arijit Singh,Romantic,Romantic,Hindi
Khalas,Arijit Singh,Romantic,Sad,Hindi
Dil Diya,Arijit Singh,Romantic,Romantic,Hindi
Bekhudi,Arijit Singh,Romantic,Emotional,Hindi
Phir Le Aya Dil,Arijit Singh,Romantic,Romantic,Hindi
Bulleya,Arijit Singh,Sufi,Spiritual,Hindi
Lambiyaan Si Judayiyaan,Arijit Singh,Romantic,Sad,Hindi
Apna Bana Le,Arijit Singh,Romantic,Romantic,Hindi
Maula Mere,Arijit Singh,Sufi,Spiritual,Hindi
Hawayein,Arijit Singh,Romantic,Romantic,Hindi
Damadum,Arijit Singh,Bollywood,Energetic,Hindi
Marjani,Arijit Singh,Romantic,Romantic,Hindi
Gazab Ka Hai Ye Din,Arijit Singh,Romantic,Happy,Hindi
Bandhan Nahi Tere Bina,Arijit Singh,Romantic,Sad,Hindi
Kal Jise Dekha Tha,Arijit Singh,Romantic,Emotional,Hindi
Mere Bina,Arijit Singh,Romantic,Sad,Hindi
Dilruba,Arijit Singh,Romantic,Emotional,Hindi
Subah Hone Na De,Arijit Singh,Romantic,Emotional,Hindi
Tujhe Salam,Arijit Singh,Patriotic,Inspirational,Hindi
Kesariyan,Arijit Singh,Bollywood,Romantic,Hindi
Ilahi,Arijit Singh,Romantic,Spiritual,Hindi
Tera Mera Rishta,Arijit Singh,Romantic,Romantic,Hindi
Jaane Jaan,Arijit Singh,Romantic,Romantic,Hindi
Dil Ko Karaar Aaya,Arijit Singh,Romantic,Romantic,Hindi
Lag Ja Gale,Arijit Singh,Romantic,Romantic,Hindi
Teri Jhuki Nazar,Arijit Singh,Romantic,Romantic,Hindi
Ishq Da Nishaan,Arijit Singh,Romantic,Romantic,Hindi
Mitti Di Khushboo,Arijit Singh,Romantic,Emotional,Hindi
Main Teri Rahoon,Arijit Singh,Romantic,Emotional,Hindi
Agar Tum Saath Ho,Arijit Singh,Romantic,Emotional,Hindi
Abhi Mujh Mein Kahin,Arijit Singh,Romantic,Emotional,Hindi
Ding Dong,Arijit Singh,Bollywood,Happy,Hindi
Pashmina,Arijit Singh,Romantic,Romantic,Hindi
Tum Se Hi,Arijit Singh,Romantic,Romantic,Hindi
Baarish Ban Jaana,Arijit Singh,Romantic,Sad,Hindi
Chhod Dena Nahi,Arijit Singh,Romantic,Emotional,Hindi
Pehli Mulaqat,Arijit Singh,Romantic,Romantic,Hindi
Raaten Filhaal,Arijit Singh,Romantic,Emotional,Hindi
Moh Moh Ke Dhage,Arijit Singh,Romantic,Emotional,Hindi
Aaj Raat,Arijit Singh,Romantic,Romantic,Hindi
Chahun Main Ya Na Chahun,Shreya Ghoshal,Romantic,Emotional,Hindi
Tum Se Hi,Shreya Ghoshal,Romantic,Romantic,Hindi
Barsos Baad Holi Khele Hum,Shreya Ghoshal,Bollywood,Happy,Hindi
Laila Laila,Shreya Ghoshal,Bollywood,Energetic,Hindi
Teri Jhuki Nazar,Shreya Ghoshal,Romantic,Romantic,Hindi
Lal Dupatta Ulfat Da,Shreya Ghoshal,Romantic,Romantic,Hindi
Saiya Dheere Chalna,Shreya Ghoshal,Romantic,Romantic,Hindi
Yaad Piya Ki Aane Lagi,Shreya Ghoshal,Romantic,Romantic,Hindi
Chikni Chameli,Shreya Ghoshal,Bollywood,Energetic,Hindi
Abhi Mujh Mein Kahin,Shreya Ghoshal,Romantic,Emotional,Hindi
Teri Meri Prem Kahani,Shreya Ghoshal,Romantic,Happy,Hindi
Zara Zara Touch Me,Shreya Ghoshal,Romantic,Energetic,Hindi
Chaleya,Shreya Ghoshal,Bollywood,Energetic,Hindi
Radha Kaise Na Jale,Shreya Ghoshal,Bollywood,Happy,Hindi
Mohe Panghat Pe Nandlal,Shreya Ghoshal,Romantic,Happy,Hindi
Piya Tu Ab To Aaja,Shreya Ghoshal,Sufi,Romantic,Hindi
Main Teri Rahoon,Shreya Ghoshal,Romantic,Emotional,Hindi
Tujhe Salam,Shreya Ghoshal,Patriotic,Inspirational,Hindi
Shyam Teri Bansi,Shreya Ghoshal,Devotional,Spiritual,Hindi
Malhar Teri Bansi,Shreya Ghoshal,Devotional,Spiritual,Hindi
Baarish Ban Jaana,Shreya Ghoshal,Romantic,Sad,Hindi
Khuda Jaane,Shreya Ghoshal,Romantic,Emotional,Hindi
Jiya Lage Na,Shreya Ghoshal,Romantic,Emotional,Hindi
Kab Se,Shreya Ghoshal,Romantic,Romantic,Hindi
Tere Liye,Shreya Ghoshal,Romantic,Romantic,Hindi
Chandni Raatein,Shreya Ghoshal,Romantic,Romantic,Hindi
Pehli Pehli Baar,Shreya Ghoshal,Romantic,Romantic,Hindi
Sama Hai To Bas Tumhare Liye,Shreya Ghoshal,Romantic,Romantic,Hindi
Mahabooba,Shreya Ghoshal,Romantic,Energetic,Hindi
Dil Mein Teri,Shreya Ghoshal,Romantic,Emotional,Hindi
Har Pal,Shreya Ghoshal,Romantic,Happy,Hindi
Neend Chura Di Tune,Shreya Ghoshal,Romantic,Emotional,Hindi
Mere Haath Mein,Shreya Ghoshal,Romantic,Happy,Hindi
Tere Naam,Shreya Ghoshal,Romantic,Emotional,Hindi
Raabta,Shreya Ghoshal,Romantic,Romantic,Hindi
Chaleya (Extended),Shreya Ghoshal,Bollywood,Energetic,Hindi
Kya Ye Teri Bansi Hai,Shreya Ghoshal,Romantic,Happy,Hindi
Tujhe Bhula Doon Main,Shreya Ghoshal,Romantic,Emotional,Hindi
Saira,Shreya Ghoshal,Bollywood,Romantic,Hindi
Kabira (Reprise),Shreya Ghoshal,Bollywood,Melancholic,Hindi
Gerua (Reprise),Shreya Ghoshal,Bollywood,Happy,Hindi
Dilbara,Shreya Ghoshal,Romantic,Emotional,Hindi
Chaleya (Reprise),Shreya Ghoshal,Bollywood,Energetic,Hindi
Baarish Ke Baad,Shreya Ghoshal,Romantic,Emotional,Hindi
Tere Bin Nahi,Shreya Ghoshal,Romantic,Sad,Hindi
Mere Pyaar Ki Baarish,Shreya Ghoshal,Romantic,Romantic,Hindi
Tujhe Jaane Do,Shreya Ghoshal,Romantic,Emotional,Hindi
Kahaani Jaari Hai,Shreya Ghoshal,Romantic,Emotional,Hindi
Meri Adaalat,Shreya Ghoshal,Romantic,Emotional,Hindi
Piya Tu Ab To Aaja,Rahat Fateh Ali Khan,Sufi,Romantic,Hindi
Rabba Main Kya Karu,Rahat Fateh Ali Khan,Romantic,Emotional,Hindi
Mahiya Meri,Rahat Fateh Ali Khan,Romantic,Romantic,Hindi
Uff Teri Adaa,Rahat Fateh Ali Khan,Bollywood,Energetic,Hindi
Laila Laila,Rahat Fateh Ali Khan,Bollywood,Energetic,Hindi
Pehli Nazar Mein,Rahat Fateh Ali Khan,Romantic,Romantic,Hindi
Mitti Di Khushboo,Rahat Fateh Ali Khan,Romantic,Emotional,Hindi
Khayal Rakhna Mera,Rahat Fateh Ali Khan,Romantic,Emotional,Hindi
Tum Aa Gaye Ho,Rahat Fateh Ali Khan,Romantic,Happy,Hindi
Rishi Panchami,Rahat Fateh Ali Khan,Bollywood,Happy,Hindi
Mere Banke Bihari,Rahat Fateh Ali Khan,Devotional,Spiritual,Hindi
Tere Bina Nahi Laage,Rahat Fateh Ali Khan,Romantic,Sad,Hindi
Baarish Ban Jaana,Rahat Fateh Ali Khan,Romantic,Sad,Hindi
Tere Naam Se,Rahat Fateh Ali Khan,Romantic,Romantic,Hindi
Khuda Jaane,Rahat Fateh Ali Khan,Romantic,Emotional,Hindi
Jab Tak Hai Jaan,Rahat Fateh Ali Khan,Romantic,Romantic,Hindi
Dil De De,Rahat Fateh Ali Khan,Romantic,Emotional,Hindi
Mere Dil Se,Rahat Fateh Ali Khan,Romantic,Emotional,Hindi
Tune Jo Na Kaha,Rahat Fateh Ali Khan,Romantic,Sad,Hindi
